[INFO] start at Mon Sep 21 12:09:37 PM +07 2026
[INFO] hostname=DGX-A100
[INFO] SLURM_JOB_ID=72966
[INFO] gpu_check exit_code=0
[INFO] gpu_check output=4
[INFO] BEST_GPU=4
[INFO] Launching LEARN_Longformer Training on NIH DeepLesion CT at Mon Sep 21 12:09:46 PM +07 2026
[INFO] Tìm thấy checkpoint để resume: /datastore/uittogether3/LuuTru/MinhPD/saved_models/deeplesion/LEARN_Longformer/last.ckpt
================================================================================
🚀 BẮT ĐẦU HUẤN LUYỆN BASELINE: LEARN_Longformer (Limited-Angle CT)
- Dải góc quét: [-60.0°, 60.0°] (Cung quét 120.0°)
- Số views: 64 | Detectors: 512 | Kích thước ảnh: 256x256
- Cấu hình Cache Tag: limited_ang_120deg_numview_64_size_256_noise_0
- Số giai đoạn Unrolling: 14 stages | Max Epochs: 50 | Batch size: 1
- Tốc độ học: 0.0001 -> 1e-05
- Checkpoint lưu tại: /datastore/uittogether3/LuuTru/MinhPD/saved_models/deeplesion/LEARN_Longformer/
================================================================================

Sanity Checking: |          | 0/? [00:00<?, ?it/s]
Sanity Checking: |          | 0/? [00:00<?, ?it/s]
Sanity Checking DataLoader 0:   0%|          | 0/2 [00:00<?, ?it/s]
Sanity Checking DataLoader 0:  50%|█████     | 1/2 [00:02<00:02,  0.46it/s]
Sanity Checking DataLoader 0: 100%|██████████| 2/2 [00:03<00:00,  0.58it/s]
                                                                           

Training: |          | 0/? [00:00<?, ?it/s]
Training: |          | 0/? [00:00<?, ?it/s]
Epoch 36:   1%|          | 22/2000 [01:01<1:32:51,  0.36it/s, v_num=8, train_loss_step=0.000408]
Epoch 36:   1%|          | 23/2000 [01:04<1:32:27,  0.36it/s, v_num=8, train_loss_step=0.000408]
Epoch 36:   1%|          | 23/2000 [01:04<1:32:29,  0.36it/s, v_num=8, train_loss_step=0.000234]
Epoch 36:   1%|          | 24/2000 [01:07<1:32:03,  0.36it/s, v_num=8, train_loss_step=0.000234]
Epoch 36:   1%|          | 24/2000 [01:07<1:32:05,  0.36it/s, v_num=8, train_loss_step=0.000552]
Epoch 36:   1%|▏         | 25/2000 [01:09<1:31:56,  0.36it/s, v_num=8, train_loss_step=0.000552]
Epoch 36:   1%|▏         | 25/2000 [01:09<1:31:58,  0.36it/s, v_num=8, train_loss_step=0.000315]
Epoch 36:   1%|▏         | 26/2000 [01:12<1:32:08,  0.36it/s, v_num=8, train_loss_step=0.000315]
Epoch 36:   1%|▏         | 26/2000 [01:12<1:32:10,  0.36it/s, v_num=8, train_loss_step=0.000442]
Epoch 36:   1%|▏         | 27/2000 [01:15<1:31:46,  0.36it/s, v_num=8, train_loss_step=0.000442]
Epoch 36:   1%|▏         | 27/2000 [01:15<1:31:47,  0.36it/s, v_num=8, train_loss_step=0.000219]
Epoch 36:   1%|▏         | 28/2000 [01:18<1:32:22,  0.36it/s, v_num=8, train_loss_step=0.000219]
Epoch 36:   1%|▏         | 28/2000 [01:18<1:32:24,  0.36it/s, v_num=8, train_loss_step=0.000357]
Epoch 36:   1%|▏         | 29/2000 [01:22<1:32:54,  0.35it/s, v_num=8, train_loss_step=0.000357]
Epoch 36:   1%|▏         | 29/2000 [01:22<1:32:56,  0.35it/s, v_num=8, train_loss_step=0.000285]
Epoch 36:   2%|▏         | 30/2000 [01:24<1:32:33,  0.35it/s, v_num=8, train_loss_step=0.000285]
Epoch 36:   2%|▏         | 30/2000 [01:24<1:32:35,  0.35it/s, v_num=8, train_loss_step=0.00052] 
Epoch 36:   2%|▏         | 31/2000 [01:27<1:32:16,  0.36it/s, v_num=8, train_loss_step=0.00052]
Epoch 36:   2%|▏         | 31/2000 [01:27<1:32:18,  0.36it/s, v_num=8, train_loss_step=0.000446]
Epoch 36:   2%|▏         | 32/2000 [01:29<1:31:43,  0.36it/s, v_num=8, train_loss_step=0.000446]
Epoch 36:   2%|▏         | 32/2000 [01:29<1:31:45,  0.36it/s, v_num=8, train_loss_step=0.000759]
Epoch 36:   2%|▏         | 33/2000 [01:32<1:31:43,  0.36it/s, v_num=8, train_loss_step=0.000759]
Epoch 36:   2%|▏         | 33/2000 [01:32<1:31:45,  0.36it/s, v_num=8, train_loss_step=0.000337]
Epoch 36:   2%|▏         | 34/2000 [01:34<1:31:31,  0.36it/s, v_num=8, train_loss_step=0.000337]
Epoch 36:   2%|▏         | 34/2000 [01:35<1:31:33,  0.36it/s, v_num=8, train_loss_step=0.00106] 
Epoch 36:   2%|▏         | 35/2000 [01:37<1:31:15,  0.36it/s, v_num=8, train_loss_step=0.00106]
Epoch 36:   2%|▏         | 35/2000 [01:37<1:31:17,  0.36it/s, v_num=8, train_loss_step=0.000478]
Epoch 36:   2%|▏         | 36/2000 [01:40<1:31:35,  0.36it/s, v_num=8, train_loss_step=0.000478]
Epoch 36:   2%|▏         | 36/2000 [01:40<1:31:36,  0.36it/s, v_num=8, train_loss_step=0.000179]
Epoch 36:   2%|▏         | 37/2000 [01:43<1:31:14,  0.36it/s, v_num=8, train_loss_step=0.000179]
Epoch 36:   2%|▏         | 37/2000 [01:43<1:31:16,  0.36it/s, v_num=8, train_loss_step=0.000244]
Epoch 36:   2%|▏         | 38/2000 [01:45<1:30:56,  0.36it/s, v_num=8, train_loss_step=0.000244]
Epoch 36:   2%|▏         | 38/2000 [01:45<1:30:58,  0.36it/s, v_num=8, train_loss_step=0.000344]
Epoch 36:   2%|▏         | 39/2000 [01:49<1:31:28,  0.36it/s, v_num=8, train_loss_step=0.000344]
Epoch 36:   2%|▏         | 39/2000 [01:49<1:31:29,  0.36it/s, v_num=8, train_loss_step=0.000264]
Epoch 36:   2%|▏         | 40/2000 [01:52<1:31:41,  0.36it/s, v_num=8, train_loss_step=0.000264]
Epoch 36:   2%|▏         | 40/2000 [01:52<1:31:43,  0.36it/s, v_num=8, train_loss_step=0.000263]
Epoch 36:   2%|▏         | 41/2000 [01:54<1:31:24,  0.36it/s, v_num=8, train_loss_step=0.000263]
Epoch 36:   2%|▏         | 41/2000 [01:54<1:31:25,  0.36it/s, v_num=8, train_loss_step=0.000281]
Epoch 36:   2%|▏         | 42/2000 [01:57<1:31:06,  0.36it/s, v_num=8, train_loss_step=0.000281]
Epoch 36:   2%|▏         | 42/2000 [01:57<1:31:07,  0.36it/s, v_num=8, train_loss_step=0.000258]
Epoch 36:   2%|▏         | 43/2000 [01:59<1:30:49,  0.36it/s, v_num=8, train_loss_step=0.000258]
Epoch 36:   2%|▏         | 43/2000 [01:59<1:30:50,  0.36it/s, v_num=8, train_loss_step=0.00164] 
Epoch 36:   2%|▏         | 44/2000 [02:02<1:30:45,  0.36it/s, v_num=8, train_loss_step=0.00164]
Epoch 36:   2%|▏         | 44/2000 [02:02<1:30:46,  0.36it/s, v_num=8, train_loss_step=0.000239]
Epoch 36:   2%|▏         | 45/2000 [02:04<1:30:28,  0.36it/s, v_num=8, train_loss_step=0.000239]
Epoch 36:   2%|▏         | 45/2000 [02:04<1:30:29,  0.36it/s, v_num=8, train_loss_step=0.000374]
Epoch 36:   2%|▏         | 46/2000 [02:07<1:30:14,  0.36it/s, v_num=8, train_loss_step=0.000374]
Epoch 36:   2%|▏         | 46/2000 [02:07<1:30:15,  0.36it/s, v_num=8, train_loss_step=0.000775]
Epoch 36:   2%|▏         | 47/2000 [02:10<1:30:07,  0.36it/s, v_num=8, train_loss_step=0.000775]
Epoch 36:   2%|▏         | 47/2000 [02:10<1:30:08,  0.36it/s, v_num=8, train_loss_step=0.000155]
Epoch 36:   2%|▏         | 48/2000 [02:13<1:30:13,  0.36it/s, v_num=8, train_loss_step=0.000155]
Epoch 36:   2%|▏         | 48/2000 [02:13<1:30:15,  0.36it/s, v_num=8, train_loss_step=0.000273]
Epoch 36:   2%|▏         | 49/2000 [02:15<1:30:09,  0.36it/s, v_num=8, train_loss_step=0.000273]
Epoch 36:   2%|▏         | 49/2000 [02:15<1:30:10,  0.36it/s, v_num=8, train_loss_step=0.000467]
Epoch 36:   2%|▎         | 50/2000 [02:19<1:30:31,  0.36it/s, v_num=8, train_loss_step=0.000467]
Epoch 36:   2%|▎         | 50/2000 [02:19<1:30:32,  0.36it/s, v_num=8, train_loss_step=0.000286]
Epoch 36:   3%|▎         | 51/2000 [02:22<1:30:40,  0.36it/s, v_num=8, train_loss_step=0.000286]
Epoch 36:   3%|▎         | 51/2000 [02:22<1:30:41,  0.36it/s, v_num=8, train_loss_step=0.000471]
Epoch 36:   3%|▎         | 52/2000 [02:24<1:30:29,  0.36it/s, v_num=8, train_loss_step=0.000471]
Epoch 36:   3%|▎         | 52/2000 [02:24<1:30:30,  0.36it/s, v_num=8, train_loss_step=0.000189]
Epoch 36:   3%|▎         | 53/2000 [02:27<1:30:22,  0.36it/s, v_num=8, train_loss_step=0.000189]
Epoch 36:   3%|▎         | 53/2000 [02:27<1:30:23,  0.36it/s, v_num=8, train_loss_step=0.000512]
Epoch 36:   3%|▎         | 54/2000 [02:30<1:30:21,  0.36it/s, v_num=8, train_loss_step=0.000512]
Epoch 36:   3%|▎         | 54/2000 [02:30<1:30:22,  0.36it/s, v_num=8, train_loss_step=0.00126] 
Epoch 36:   3%|▎         | 55/2000 [02:33<1:30:14,  0.36it/s, v_num=8, train_loss_step=0.00126]
Epoch 36:   3%|▎         | 55/2000 [02:33<1:30:14,  0.36it/s, v_num=8, train_loss_step=0.000509]
Epoch 36:   3%|▎         | 56/2000 [02:35<1:30:03,  0.36it/s, v_num=8, train_loss_step=0.000509]
Epoch 36:   3%|▎         | 56/2000 [02:35<1:30:03,  0.36it/s, v_num=8, train_loss_step=0.000376]
Epoch 36:   3%|▎         | 57/2000 [02:38<1:29:52,  0.36it/s, v_num=8, train_loss_step=0.000376]
Epoch 36:   3%|▎         | 57/2000 [02:38<1:29:52,  0.36it/s, v_num=8, train_loss_step=0.000334]
Epoch 36:   3%|▎         | 58/2000 [02:41<1:29:57,  0.36it/s, v_num=8, train_loss_step=0.000334]
Epoch 36:   3%|▎         | 58/2000 [02:41<1:29:58,  0.36it/s, v_num=8, train_loss_step=0.000158]
Epoch 36:   3%|▎         | 59/2000 [02:43<1:29:50,  0.36it/s, v_num=8, train_loss_step=0.000158]
Epoch 36:   3%|▎         | 59/2000 [02:43<1:29:51,  0.36it/s, v_num=8, train_loss_step=0.00029] 
Epoch 36:   3%|▎         | 60/2000 [02:46<1:29:42,  0.36it/s, v_num=8, train_loss_step=0.00029]
Epoch 36:   3%|▎         | 60/2000 [02:46<1:29:43,  0.36it/s, v_num=8, train_loss_step=0.000515]
Epoch 36:   3%|▎         | 61/2000 [02:49<1:29:59,  0.36it/s, v_num=8, train_loss_step=0.000515]
Epoch 36:   3%|▎         | 61/2000 [02:49<1:30:00,  0.36it/s, v_num=8, train_loss_step=0.000924]
Epoch 36:   3%|▎         | 62/2000 [02:53<1:30:08,  0.36it/s, v_num=8, train_loss_step=0.000924]
